HDB Exercise,Town,Room Type,Block,Street,Probable Completion Date,Delivery Possession Date,Lease Commencement Date,Ethic Quota-Malay,Ethic Quota-Chinese,Ethic Quota-Indian Others,Unit,Price,Sqm,IsBooked
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#34-38,"$713,000 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#35-38,"$714,600 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#36-38,"$716,200 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#37-38,"$717,800 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#39-38,"$721,000 ",120,FALSE
SBF,clementi,3Gen,464A ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,31,28,26,#40-38,"$721,000 ",120,FALSE
SBF,clementi,5-Room,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,2,2,2,#03-54,"$650,700 ",113,FALSE
SBF,clementi,5-Room,464B ,CLEMENTI AVE 1 ,2Q/2022 ,30-Jun-23,-  ,2,2,2,#04-54,"$656,700 ",113,FALSE
SBF,clementi,5-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,2,2,2,#10-72,"$667,400 ",113,FALSE
SBF,clementi,5-Room,465A ,CLEMENTI AVE 1 ,2Q/2022 ,31-May-23,-  ,2,2,2,#33-74,"$704,900 ",113,FALSE
SBF,clementi,5-Room,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#11-59,"$572,900 ",113,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#02-57,"$536,300 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#03-57,"$542,300 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#05-57,"$554,300 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#06-57,"$558,800 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#07-57,"$568,100 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#08-57,"$577,300 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#09-57,"$578,900 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#10-57,"$580,500 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#11-57,"$586,900 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#13-57,"$594,900 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#14-57,"$596,500 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#16-57,"$599,700 ",120,FALSE
SBF,clementi,3Gen,801C ,WEST COAST CRES ,3Q/2022 ,30-Sep-23,-  ,14,14,7,#24-57,"$622,000 ",120,FALSE
