Town,Room Type,Block,Street,Probable Completion Date,Delivery Possession Date,Lease Commencement Date,Ethic Quota-Malay,Ethic Quota-Chinese,Ethic Quota-Indian Others,Unit,Price,Sqm,IsBooked
Punggol,4-Room,323A ,SUMANG WALK ,- ,NA (Keys Available) ,01 Jan 2020  ,1,1,1,#20-947,,,True
Punggol,4-Room,323A ,SUMANG WALK ,- ,NA (Keys Available) ,01 Jan 2020  ,1,1,1,#03-949,,,True
Punggol,4-Room,323A ,SUMANG WALK ,- ,NA (Keys Available) ,01 Jan 2020  ,1,1,1,#11-949,"$347,700",93,False
Punggol,4-Room,323A ,SUMANG WALK ,- ,NA (Keys Available) ,01 Jan 2020  ,1,1,1,#10-951,,,True
Punggol,4-Room,323A ,SUMANG WALK ,- ,NA (Keys Available) ,01 Jan 2020  ,1,1,1,#17-951,,,True
Punggol,4-Room,323B ,SUMANG WALK ,- ,NA (Keys Available) ,01 Jan 2020  ,1,1,1,#02-933,"$314,500",93,False
Punggol,4-Room,323B ,SUMANG WALK ,- ,NA (Keys Available) ,01 Jan 2020  ,1,1,1,#14-937,,,True
Punggol,4-Room,401A ,NORTHSHORE DR ,4Q/2021 ,31 Oct 2022  ,-  ,1,2,2,#15-20,,,True
Punggol,4-Room,401A ,NORTHSHORE DR ,4Q/2021 ,31 Oct 2022  ,-  ,1,2,2,#04-22,"$312,100",96,False
Punggol,4-Room,401A ,NORTHSHORE DR ,4Q/2021 ,31 Oct 2022  ,-  ,1,2,2,#07-26,"$329,000",96,False
Punggol,4-Room,402B ,NORTHSHORE DR ,4Q/2021 ,30 Nov 2022  ,-  ,2,2,2,#14-50,"$357,000",96,False
Punggol,4-Room,402B ,NORTHSHORE DR ,4Q/2021 ,30 Nov 2022  ,-  ,2,2,2,#16-50,"$359,800",96,False
Punggol,4-Room,406B ,NORTHSHORE DR ,- ,NA (Keys Available) ,01 May 2021  ,1,1,1,#04-162,"$340,800",94,False
Punggol,4-Room,406C ,NORTHSHORE DR ,- ,NA (Keys Available) ,01 May 2021  ,1,1,1,#04-174,"$334,500",94,False
Punggol,4-Room,409C ,NORTHSHORE DR ,4Q/2020 ,30 Apr 2021  ,-  ,1,1,1,#03-262,"$327,000",94,False
Punggol,4-Room,409C ,NORTHSHORE DR ,4Q/2020 ,30 Apr 2021  ,-  ,1,1,1,#16-270,,,True
Punggol,4-Room,413A ,NORTHSHORE DR ,4Q/2020 ,31 Dec 2021  ,-  ,1,1,1,#06-525,"$332,200",94,False
Punggol,4-Room,415C ,NORTHSHORE DR ,4Q/2020 ,31 Dec 2021  ,-  ,0,1,1,#03-565,"$316,200",94,False
Punggol,4-Room,420C ,NORTHSHORE DR ,4Q/2020 ,31 Dec 2021  ,-  ,1,1,1,#06-641,"$340,400",95,False
Punggol,4-Room,420D ,NORTHSHORE DR ,4Q/2020 ,31 Dec 2021  ,-  ,1,1,1,#07-653,"$335,100",94,False
Punggol,4-Room,425B ,NORTHSHORE CRES ,3Q/2021 ,30 Sep 2022  ,-  ,1,1,1,#13-165,"$329,400",93,False
Punggol,4-Room,425B ,NORTHSHORE CRES ,3Q/2021 ,30 Sep 2022  ,-  ,1,1,1,#17-165,,,True
Punggol,4-Room,653A ,PUNGGOL DR ,1Q/2021 ,31 Mar 2022  ,-  ,1,2,2,#05-34,"$302,100",93,False
Punggol,4-Room,653A ,PUNGGOL DR ,1Q/2021 ,31 Mar 2022  ,-  ,1,2,2,#12-40,"$328,400",93,False
Punggol,4-Room,653C ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,1,1,1,#08-82,"$317,700",93,False
Punggol,4-Room,654A ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,2,3,1,#10-92,"$325,600",93,False
Punggol,4-Room,654A ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,2,3,1,#15-92,"$332,600",93,False
Punggol,4-Room,654A ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,2,3,1,#03-98,"$308,400",93,False
Punggol,4-Room,654B ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,0,3,2,#10-112,"$318,000",93,False
Punggol,4-Room,654B ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,0,3,2,#14-112,"$322,200",93,False
Punggol,4-Room,654B ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,0,3,2,#05-114,"$302,100",93,False
Punggol,4-Room,654D ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,0,2,2,#02-168,"$289,200",93,False
Punggol,4-Room,654D ,PUNGGOL DR ,2Q/2021 ,30 Jun 2022  ,-  ,0,2,2,#10-168,"$323,100",93,False
Punggol,4-Room,655C ,PUNGGOL EAST ,1Q/2021 ,31 Mar 2022  ,-  ,0,1,1,#07-762,"$336,000",93,False
Punggol,4-Room,659B ,PUNGGOL EAST ,- ,NA (Keys Available) ,01 Nov 2018  ,1,1,1,#08-763,"$320,400",93,False
Pasir Ris,3-ROOM,214 ,PASIR RIS ST 21 ,- ,NA (Keys Available) ,01 Jul 1993  ,0,1,0,#03-258*,"$314,000",107,False
Pasir Ris,3-ROOM,568 ,PASIR RIS ST 51 ,- ,NA (Keys Available) ,28 Nov 1992  ,1,1,1,#02-86*,"$311,000",104,False
Pasir Ris,4-Room,214 ,PASIR RIS ST 21 ,- ,NA (Keys Available) ,01 Jul 1993  ,0,1,0,#03-258*,"$314,000",107,False
Pasir Ris,4-Room,568 ,PASIR RIS ST 51 ,- ,NA (Keys Available) ,28 Nov 1992  ,1,1,1,#02-86*,"$311,000",104,False
Pasir Ris,5-Room,138 ,PASIR RIS ST 11 ,- ,NA (Keys Available) ,01 Apr 1994  ,0,1,0,#05-205*,"$363,000",127,False
Sembawang,4-Room,101B ,CANBERRA ST ,- ,NA (Keys Available) ,01 Dec 2020  ,1,1,1,#02-49,"$253,000",93,False
Sembawang,4-Room,101B ,CANBERRA ST ,- ,NA (Keys Available) ,01 Dec 2020  ,1,1,1,#14-51,,,True
Sembawang,4-Room,101B ,CANBERRA ST ,- ,NA (Keys Available) ,01 Dec 2020  ,1,1,1,#14-53,,,True
Sembawang,4-Room,101B ,CANBERRA ST ,- ,NA (Keys Available) ,01 Dec 2020  ,1,1,1,#15-55,,,True
Sembawang,4-Room,107A ,CANBERRA ST ,- ,NA (Keys Available) ,01 Jul 2018  ,1,1,0,#02-573,"$244,000",93,False
Sembawang,4-Room,362A ,SEMBAWANG CRES ,- ,NA (Keys Available) ,01 May 2019  ,1,1,1,#12-835,,,True
Sembawang,4-Room,362A ,SEMBAWANG CRES ,- ,NA (Keys Available) ,01 May 2019  ,1,1,1,#17-845,,,True
Sembawang,4-Room,362A ,SEMBAWANG CRES ,- ,NA (Keys Available) ,01 May 2019  ,1,1,1,#13-847,,,True
Sembawang,4-Room,362A ,SEMBAWANG CRES ,- ,NA (Keys Available) ,01 May 2019  ,1,1,1,#06-853,"$271,500",93,False
Sembawang,4-Room,362A ,SEMBAWANG CRES ,- ,NA (Keys Available) ,01 May 2019  ,1,1,1,#05-855,,,True
Sembawang,4-Room,362C ,SEMBAWANG CRES ,- ,NA (Keys Available) ,01 May 2019  ,1,2,2,#09-797,,,True
Sembawang,4-Room,362C ,SEMBAWANG CRES ,- ,NA (Keys Available) ,01 May 2019  ,1,2,2,#03-805,"$258,900",93,False
Sembawang,4-Room,362C ,SEMBAWANG CRES ,- ,NA (Keys Available) ,01 May 2019  ,1,2,2,#11-809,"$292,500",93,False
Serangoon,3-ROOM,7 ,LOR LEW LIAN ,- ,NA (Keys Available) ,01 May 1978  ,1,1,1,#02-134*,"$346,000",98,False
Serangoon,4-Room,7 ,LOR LEW LIAN ,- ,NA (Keys Available) ,01 May 1978  ,1,1,1,#02-134*,"$346,000",98,False
Serangoon,5-Room,7 ,LOR LEW LIAN ,- ,NA (Keys Available) ,01 May 1978  ,1,1,1,#02-134*,"$346,000",98,False
Sengkang,4-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,1,5,5,#04-20,"$294,000",93,False
Sengkang,4-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,1,5,5,#03-22,"$288,900",93,False
Sengkang,4-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,1,5,5,#02-32,"$294,400",93,False
Sengkang,4-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,1,5,5,#02-34,"$294,400",93,False
Sengkang,4-Room,170A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,1,5,5,#05-34,"$318,200",93,False
Sengkang,4-Room,170B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,7,5,#03-48,"$288,900",93,False
Sengkang,4-Room,170B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,7,5,#09-48,"$314,800",93,False
Sengkang,4-Room,170B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,7,5,#14-48,"$324,300",93,False
Sengkang,4-Room,170B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,7,5,#03-50,"$288,900",93,False
Sengkang,4-Room,170B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,7,5,#07-52,,,True
Sengkang,4-Room,170B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,7,5,#02-54,"$294,400",93,False
Sengkang,4-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,6,4,#03-74,"$289,500",93,False
Sengkang,4-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,6,4,#05-74,"$298,500",93,False
Sengkang,4-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,6,4,#15-74,"$320,700",93,False
Sengkang,4-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,6,4,#04-76,"$293,400",93,False
Sengkang,4-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,6,4,#02-82,"$299,600",93,False
Sengkang,4-Room,171A ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,3,6,4,#02-84,"$294,400",93,False
Sengkang,4-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,4,5,5,#02-90,"$299,500",93,False
Sengkang,4-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,4,5,5,#02-92,"$299,500",93,False
Sengkang,4-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,4,5,5,#02-94,"$299,500",93,False
Sengkang,4-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,4,5,5,#03-94,"$304,000",93,False
Sengkang,4-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,4,5,5,#02-96,"$299,500",93,False
Sengkang,4-Room,171B ,SENGKANG EAST DR ,2Q/2022 ,31 May 2023  ,-  ,4,5,5,#09-96,,,True
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#03-128,"$288,900",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#04-128,"$293,400",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#06-128,"$301,400",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#07-128,"$304,900",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#09-128,"$309,800",93,False
Sengkang,4-Room,172B ,SENGKANG EAST DR ,2Q/2022 ,30 Apr 2023  ,-  ,13,16,4,#10-128,"$311,200",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#03-174,"$278,800",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#04-174,"$283,300",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#05-174,"$287,800",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#06-174,"$291,300",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#07-174,"$294,800",93,False
Sengkang,4-Room,172D ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,19,18,11,#08-174,"$298,300",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#03-198,"$288,900",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#04-198,"$293,400",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#05-198,"$297,900",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#06-198,"$301,400",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#03-200,"$288,900",93,False
Sengkang,4-Room,173A ,SENGKANG EAST DR ,3Q/2022 ,30 Sep 2023  ,-  ,11,27,9,#04-200,"$293,400",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#03-232,"$288,900",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#04-232,"$293,400",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#05-232,"$297,900",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#06-232,"$301,400",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#07-232,"$304,900",93,False
Sengkang,4-Room,173C ,SENGKANG EAST DR ,3Q/2022 ,31 Jul 2023  ,-  ,8,28,5,#08-232,"$308,400",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#03-278,"$278,800",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#04-278,"$283,300",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#05-278,"$287,800",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#06-278,"$291,300",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#07-278,"$294,800",93,False
Sengkang,4-Room,174A ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,12,36,4,#09-278,"$299,700",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#03-296,"$289,500",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#04-296,"$294,000",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#05-296,"$298,500",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#06-296,"$302,000",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#10-296,"$313,700",93,False
Sengkang,4-Room,174B ,SENGKANG EAST DR ,3Q/2022 ,31 Aug 2023  ,-  ,6,11,5,#02-298,"$279,400",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#02-320,"$299,500",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#06-320,"$316,500",93,False
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#15-320,,,True
Sengkang,4-Room,175A ,SENGKANG EAST DR ,2Q/2022 ,30 Jun 2023  ,-  ,7,7,5,#02-322,"$299,500",93,False
